ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Living_With,Total_Spent,Children_Home,Seniority_Days,Age,Total_Purchases,Cluster,Total_Promos,Marketing_Potential_Score,Probabilité_Réponse,Cluster_Name
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,Partner,316,0,690,40,11,2,0,8.76,0.26439893569369094,Jeunes Prudents
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,Partner,1730,1,539,43,28,1,0,47.96,0.30652007209958043,Épicuriens VIP
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,Partner,972,1,553,73,14,1,1,32.95,0.240549349758012,Épicuriens VIP
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,Partner,544,1,169,68,17,0,0,15.08,0.0524627132934251,Seniors Budgétaires
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,Partner,444,1,468,71,13,0,0,12.31,0.12138443175837574,Seniors Budgétaires
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,Alone,75,0,543,53,6,2,0,2.08,0.18428464741434777,Jeunes Prudents
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,Partner,257,2,398,46,10,0,0,7.12,0.0767756312639186,Seniors Budgétaires
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,Alone,637,1,494,36,27,1,0,17.66,0.0903174890731452,Épicuriens VIP
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,Partner,131,1,394,33,7,2,0,3.63,0.1056209699815162,Jeunes Prudents
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,Partner,1672,0,219,57,25,1,1,52.35,0.19467385274723847,Épicuriens VIP
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,Alone,30,0,38,33,6,3,0,0.83,0.054778691065326304,Petits Consommateurs
3033,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,Partner,318,0,414,59,10,2,0,8.82,0.14423278172157103,Jeunes Prudents
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,Partner,120,1,627,52,7,2,1,9.33,0.1709135843364186,Jeunes Prudents
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,Alone,302,2,608,70,11,0,1,14.37,0.12114704175137397,Seniors Budgétaires
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,Partner,1196,0,494,76,17,1,0,33.16,0.28954686316581857,Épicuriens VIP
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,Alone,65,2,304,71,5,0,0,1.8,0.05749140325692541,Seniors Budgétaires
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,Partner,913,1,180,52,23,1,0,25.31,0.06515510005755133,Épicuriens VIP
10755,1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,Partner,81,1,300,46,6,3,0,2.25,0.08092598966313051,Petits Consommateurs
8595,1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,Alone,67,1,138,49,5,3,0,1.86,0.054015948068712336,Petits Consommateurs
2968,1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,Alone,902,0,513,79,22,1,2,37.01,0.1853825258180712,Épicuriens VIP
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,Partner,1395,1,426,42,19,1,0,38.67,0.24170710380238278,Épicuriens VIP
503,1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,Partner,53,1,474,37,5,2,0,1.47,0.12935102918300204,Jeunes Prudents
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,Partner,22,1,552,65,3,2,0,0.61,0.15213066427376498,Jeunes Prudents
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,Alone,186,0,236,63,8,3,0,5.16,0.08689848455917774,Petits Consommateurs
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,Partner,31,1,270,47,5,3,0,0.86,0.0752095311430789,Petits Consommateurs
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,Alone,984,0,1,46,15,1,0,27.28,0.0895960611161791,Épicuriens VIP
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,Partner,122,0,597,26,7,2,1,9.38,0.22499092127419204,Jeunes Prudents
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,Partner,55,1,401,54,4,2,0,1.52,0.10675553815691122,Jeunes Prudents
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,Alone,124,3,179,71,7,0,0,3.44,0.029984985100026482,Seniors Budgétaires
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,Partner,1319,2,598,68,19,1,0,36.57,0.23968413014062442,Épicuriens VIP
8614,1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,Alone,507,1,48,65,16,0,0,14.06,0.03888697509434467,Seniors Budgétaires
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,Partner,1693,0,687,58,28,1,0,46.93,0.43096989262785673,Épicuriens VIP
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,Alone,72,1,543,45,5,2,0,2.0,0.14994012124591358,Jeunes Prudents
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,Alone,1617,0,22,45,20,1,3,62.83,0.15208699982194795,Épicuriens VIP
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,Partner,606,2,382,44,16,0,0,16.8,0.0823058015789407,Seniors Budgétaires
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,Partner,1957,0,587,67,26,1,2,66.25,0.46580794612142734,Épicuriens VIP
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,Alone,1093,0,453,56,20,1,1,36.3,0.22456373761907214,Épicuriens VIP
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,Alone,29,1,62,34,5,3,0,0.8,0.04494694447447983,Petits Consommateurs
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,Alone,46,1,377,40,5,3,0,1.28,0.09802684366320855,Petits Consommateurs
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,Partner,518,1,118,54,16,0,0,14.36,0.04934317780484257,Seniors Budgétaires
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,Alone,1438,0,360,40,20,1,3,57.87,0.2679703422433241,Épicuriens VIP
3076,1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,Partner,612,2,660,47,18,0,0,16.97,0.14627220605029656,Seniors Budgétaires
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,Alone,884,1,496,70,20,1,0,24.51,0.15029667132469843,Épicuriens VIP
6518,1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,Alone,606,1,383,71,18,1,0,16.8,0.09133385412762489,Épicuriens VIP
4137,1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,Partner,1076,0,205,74,15,1,0,29.83,0.1510802097983005,Épicuriens VIP
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,Partner,34,1,404,51,4,2,1,6.94,0.10737797516349236,Jeunes Prudents
1386,1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,Partner,11,2,49,55,3,3,0,0.3,0.03276104714774559,Petits Consommateurs
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,Alone,1274,1,102,43,31,1,3,53.32,0.055526437665336874,Épicuriens VIP
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,Partner,653,1,275,64,17,1,0,18.1,0.07895319110476476,Épicuriens VIP
1357,1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,Partner,1562,3,447,52,12,0,0,43.3,0.2429584099584142,Seniors Budgétaires
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,Partner,1253,0,656,68,18,1,0,34.74,0.3988931755450255,Épicuriens VIP
10629,1973,2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,Partner,109,1,653,49,6,2,0,3.02,0.18695503210909542,Jeunes Prudents
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,Partner,863,1,469,63,26,1,0,23.92,0.10577199043364237,Épicuriens VIP
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,Partner,661,2,450,47,19,0,1,24.32,0.08943086762276668,Seniors Budgétaires
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,Partner,65,0,60,70,7,3,0,1.8,0.05057964911958262,Petits Consommateurs
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,Alone,13,1,557,45,3,2,0,0.36,0.15845886214050373,Jeunes Prudents
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,Partner,1890,0,671,50,18,1,1,58.4,0.6214273256289775,Épicuriens VIP
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,Alone,2209,0,625,46,22,1,2,73.24,0.6403247004112029,Épicuriens VIP
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,Partner,18,0,298,46,3,3,0,0.5,0.11386906164010471,Petits Consommateurs
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,Partner,692,0,543,57,19,1,2,31.18,0.1910268325861053,Épicuriens VIP
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,Alone,165,1,669,37,8,2,0,4.57,0.19745190004090815,Jeunes Prudents
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,Partner,16,1,371,53,3,3,0,0.44,0.10118981556516722,Petits Consommateurs
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,Partner,79,1,361,49,6,3,0,2.19,0.09314514895663827,Petits Consommateurs
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,Partner,318,0,414,59,10,2,0,8.82,0.14423278172157103,Jeunes Prudents
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,Alone,778,0,124,35,26,1,0,21.57,0.05717519491574996,Épicuriens VIP
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,Partner,56,2,322,62,5,0,0,1.55,0.06231720886485312,Seniors Budgétaires
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,Partner,151,2,348,52,8,0,1,10.19,0.06574185686885282,Seniors Budgétaires
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,Alone,372,1,32,65,13,0,3,28.31,0.03738504352775919,Seniors Budgétaires
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,Partner,1366,0,48,49,18,1,1,43.87,0.13335429706668914,Épicuriens VIP
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,Partner,194,1,159,55,9,3,0,5.38,0.052744819238230635,Petits Consommateurs
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,Partner,603,3,587,65,17,0,0,16.72,0.09368520589227755,Seniors Budgétaires
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,Alone,18,2,33,65,3,0,0,0.5,0.030170958363551548,Seniors Budgétaires
5798,1973,Master,Together,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,Partner,985,0,218,49,14,1,0,27.31,0.1604479245989473,Épicuriens VIP
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,Alone,32,1,98,50,4,3,0,0.89,0.04897549990215573,Petits Consommateurs
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,Partner,43,1,36,52,7,3,0,1.19,0.03662912424015404,Petits Consommateurs
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,Partner,45,1,38,39,5,3,0,1.25,0.0423213002544724,Petits Consommateurs
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,Alone,606,1,584,62,17,0,1,22.8,0.16127100001672992,Seniors Budgétaires
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,Alone,63,2,444,50,5,0,0,1.75,0.08677604120833386,Seniors Budgétaires
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,Partner,978,0,210,71,24,1,1,33.11,0.08964441720368124,Épicuriens VIP
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,Partner,410,0,374,39,14,2,0,11.37,0.1264025692332136,Jeunes Prudents
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,Alone,72,1,341,62,5,0,0,2.0,0.08699103216848515,Seniors Budgétaires
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,Alone,55,1,91,63,5,3,0,1.52,0.04550706318406258,Petits Consommateurs
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,Partner,1169,1,435,43,25,1,0,32.41,0.14954509129114146,Épicuriens VIP
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,Partner,1120,0,408,77,15,1,0,31.05,0.24559122560646726,Épicuriens VIP
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,Partner,1097,0,52,63,19,1,1,36.41,0.09023167525211324,Épicuriens VIP
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,Partner,29,1,201,43,4,3,0,0.8,0.06599054488019843,Petits Consommateurs
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,Partner,187,2,278,58,9,0,0,5.18,0.052958377819315734,Seniors Budgétaires
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,Partner,910,2,512,53,22,0,0,25.23,0.11868141106207172,Seniors Budgétaires
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,Alone,145,1,557,44,7,2,0,4.02,0.15314634694654583,Jeunes Prudents
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,Partner,850,0,569,62,13,1,0,23.56,0.2896092070786277,Épicuriens VIP
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,Partner,969,1,239,43,23,1,0,26.86,0.08224085199773089,Épicuriens VIP
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,Alone,1820,0,596,31,16,1,2,62.46,0.5930864111503035,Épicuriens VIP
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,Partner,608,1,4,59,17,0,1,22.86,0.038263255142185884,Seniors Budgétaires
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,Alone,730,0,543,31,24,1,3,38.24,0.16678711991023848,Épicuriens VIP
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,Partner,551,1,564,42,16,2,0,15.28,0.16080494581202082,Jeunes Prudents
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,Alone,114,2,292,60,6,0,0,3.16,0.05805412723999618,Seniors Budgétaires
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,Partner,1724,0,156,52,15,1,2,59.79,0.2730263813499558,Épicuriens VIP
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,Partner,577,1,495,44,15,2,0,16.0,0.14775071393782693,Jeunes Prudents
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,Partner,81,2,353,55,5,0,0,2.25,0.07085049788733447,Seniors Budgétaires
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,Partner,33,1,227,53,5,3,0,0.91,0.06555739770787608,Petits Consommateurs
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,Partner,660,1,374,69,18,1,0,18.3,0.09663775138087197,Épicuriens VIP
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,Alone,80,1,125,55,6,3,1,8.22,0.04998327910015677,Petits Consommateurs
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,Partner,30,2,298,37,4,3,0,0.83,0.06497635243474087,Petits Consommateurs
